AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
1052|Chrno Crusade|クロノクルセイド|Chrono Crusade|2003-2004|77|24|53|6.55|7.75|8012|8125|17|7.12|2|TV Series|0
8883|Chuunibyou demo Koi ga Shitai!|中二病でも恋がしたい!|Love, Chunibyo & Other Delusions!|2012|71|12|59|6.93|7.52|7192|7225|5|6.56|2|TV Series|0
9874|Chuunibyou demo Koi ga Shitai! Ren|中二病でも恋がしたい! 戀|Love, Chunibyo and Other Delusions! Heart Throb|2014|58|12|46|5.80|7.02|4168|4185|3|7.11|2|TV Series|0
5101|Clannad|CLANNAD|Clannad|2007-2008|34|22|12|7.97|8.18|12076|12281|10|7.61|2|TV Series|0
4892|Claymore|クレイモア|Claymore|2007|34|26|8|7.30|8.13|12191|12628|16|7.58|2|TV Series|0
23|Cowboy Bebop|カウボーイビバップ|Cowboy Bebop|1998-1999|51|26|24|8.75|8.65|18773|19182|24|9.04|2|TV Series|0
219|Cowboy Bebop: Tengoku no Tobira|カウボーイビバップ天国の扉|Cowboy Bebop: Knockin` on Heaven`s Door|2001|20|1|14|8.25|8.31|9958|10021|8|8.60|4|Movie|0
862|D+vine Luv|D+VINE[LUV][ディヴァイン ラヴ]|Dvine [Luv]|2001-2002|4|4|0|4.84|6.55|598|608|0|-|3|OVA|1
4563|Death Note|DEATH NOTE|Death Note|2006-2007|95|37|58|8.58|8.63|21329|22171|23|7.90|2|TV Series|0
4345|Dennou Coil|電脳コイル|Den-noh Coil|2007|38|26|12|8.42|8.30|5451|5512|8|8.20|2|TV Series|0
4776|Devil May Cry|デビル メイ クライ|Devil May Cry|2007|17|12|5|4.11|6.78|5414|5562|5|5.39|2|TV Series|0
8206|Dog Days|DOG DAYS||2011|34|13|21|4.67|6.62|2648|2669|2|5.33|2|TV Series|0
231|Dragon Ball|DRAGON BALL|Dragon Ball|1986-1989|167|153|7|6.53|7.59|7548|7703|6|6.38|2|TV Series|0
233|Dragon Ball GT|DRAGON BALL GT|Dragon Ball GT|1996-1997|76|64|12|2.94|6.04|5376|5471|7|5.18|2|TV Series|0
1530|Dragon Ball Z|DRAGON BALL Z|Dragon Ball Z|1989-1996|326|291|21|6.54|7.60|8069|8265|13|6.23|2|TV Series|0
10894|Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth|ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH|Is It Wrong to Try to Pick Up Girls in a Dungeon?|2015|17|13|4|6.23|7.23|6534|6579|5|5.59|2|TV Series|0
13829|Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth II|ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH II|Is It Wrong to Try to Pick Up Girls in a Dungeon? II|2019|34|12|22|5.42|6.90|2704|2723|0|-|2|TV Series|0
15111|Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth III|ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH III|Is It Wrong to Try to Pick Up Girls in a Dungeon? III|2020|30|12|18|5.98|7.11|1893|1908|0|-|2|TV Series|0
16032|Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth IV|ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH IV|Is It Wrong to Try to Pick Up Girls in a Dungeon? IV|2022|24|11|13|6.58|7.26|1193|1204|0|-|2|TV Series|0
17652|Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth IV (2023)|ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH IV (2023)|Is It Wrong to Try to Pick Up Girls in a Dungeon? IV (2023)|2022-2023|28|11|17|7.83|7.74|1084|1096|0|-|2|TV Series|0
1193|Egao|笑顔||2003|7|1|6|4.84|6.47|1197|1203|0|-|8|Music Video|0
2321|Eiga Inuyasha: Guren no Houraijima|映画 犬夜叉 紅蓮の蓬莱島|InuYasha the Movie 4: Fire on the Mystic Island|2004|6|1|3|5.81|7.20|1770|1789|3|4.99|4|Movie|0
903|Eiga Inuyasha: Kagami no Naka no Mugenjou|映画 犬夜叉 鏡の中の夢幻城|InuYasha the Movie 2: The Castle Beyond the Looking Glass|2002|6|1|0|5.83|7.26|2179|2197|4|6.49|4|Movie|0
1320|Eiga Inuyasha: Tenka Hadou no Ken|映画 犬夜叉 天下覇道の剣|InuYasha the Movie 3: Swords of an Honorable Ruler|2003|4|1|1|6.70|7.56|2042|2060|3|6.83|4|Movie|0
273|Eiga Inuyasha: Toki o Koeru Omoi|映画 犬夜叉 時代を越える想い|InuYasha the Movie: Affections Touching Across Time|2001|3|1|0|5.66|7.19|2256|2284|4|4.87|4|Movie|0
1544|Elfen Lied|エルフェンリート|Elfen Lied|2004|33|13|17|7.12|7.98|20606|21240|57|7.42|2|TV Series|0
3302|Ergo Proxy|エルゴプラクシー|Ergo Proxy|2006|31|23|8|7.41|8.06|11186|11422|22|8.14|2|TV Series|0
8473|Eroge! H mo Game mo Kaihatsu Zanmai|えろげー! ~Hもゲームも開発三昧~||2011-2016|9|6|3|6.69|7.11|1000|1019|0|-|3|OVA|1
321|Escaflowne|エスカフローネ|Escaflowne: The Movie|2000|14|1|8|4.94|6.93|3643|3664|7|5.59|4|Movie|0
8508|Euphoria|euphoria||2011-2016|10|6|4|4.13|5.91|879|900|0|-|3|OVA|1
6171|Evangelion Shin Gekijouban: Ha|ヱヴァンゲリヲン新劇場版:破|Evangelion: 2.0 You Can (Not) Advance|2009|23|1|20|8.80|8.31|5955|5993|7|6.97|4|Movie|0
