AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4971|69084|1|Cherry Blossoms||桜|25|03.04.2007 00:00|3.15|9|0|2
4971|69085|2|Song||歌|25|10.04.2007 00:00|3.17|4|0|2
4971|78555|3246|353008|175554560|47bfb1ac5fb871e4f46004e7d2b73173|d3c678b237019bcacdba3e86f0e2aa5e|c21896a1e6cd2ff68294ee01c6942ee79816bf6b|a80f0325|1429|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|78556|3246|355590|174407680|5f516dc4012c56b46445265ccf8fecd5|414510712ffb4a9fb4df51dae866e1b9|97c9c3d8f0a5ad39d27cd4632236dca9998b5133|8136b483|1420|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|79927|3246|358843|175239168|61a956adc49e459189424ae41a01694e|f81bb195ec4685e469c7ad42861f79ae|1a157105ce59c5509696e92fb881145069df0628|a28957f6|1420|10|high|704x396|H264/AVC|MP3 VBR|english|japanese|1|1|2|avi
4971|80987|3246|358844|181278720|22941056d6a33bcc9c92a4d7710969c7|8dc677f0d7c339be77e8c34e2d6a5ba0|b6d1aeda758b9c1e3a1216598be402024ae65638|775edd23|1440|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|81165|3246|363062|184512512|720e13360d4810f6a1a4891988ade54e|c88f3b56ab57be866914fe7912a4b908|757c8859aa82510a93a789472531204c5a23aec4|b83a2d44|1420|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|81385|3246|367069|187088896|b9c74102b4b00ed8757f35f8bb9c78f0|4da1b193e0a292c04a429c0495fb6262|fc175e5be437e08d5618188a711cc9f1ce2a5c51|c8aa08d8|1440|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|81386|3246|367949|178227200|39ddc1a217a8c83c3a214350943e43c9|a32e09020827b50739784e3bf6363d85|af0db4b0e5a137f27b2b60a1b48e27d7f1deb29c|56094bf1|1420|10|high|704x396|H264/AVC|MP3 VBR|english|japanese|1|1|2|avi
4971|81387|3246|369621|184473600|0e8be052d76c9a3684803b68c7c8ddc2|41e6c3829ce37dc2760fd807463cc302|603f83a3d916a135e66f425407a127acff3298dc|5430fb16|1420|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|81388|3246|372696|184483840|ade3dbea77f9b7e2d11d07bdc8c2d144|d519a8fc5235dc46235bb8af56963a4a|bf8d31341d10609c67e74f8902ae4afa78e1f2d7|71f63436|1420|10|med|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|81506|3246|382515|184489984|ce3ceb5b8da03d07cc7796d6e674f25f|d7e4ebf203173d4c5f499f0516cdffa7|d914cd5abd4a11216031f17f0f96c8198abd448c|a4f72881|1420|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
4971|82939|3246|382514|180600832|d1260e9dc338be448d39ce7fb423c8bd|d4910a3c0fd19bed84c9ce3478011a46|33d9fc92e21bb367359de4c7436b5037925c7ce0|a7fa5b91|1390|10|high|704x396|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
3246|21619|Serin Fansubs|SRN|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
202|Catgirl|0|100
471|Christmas|0|100
17|Comedy|0|300
183|Contemporary Fantasy|0|300
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
282|Ecchi|0|200
271|Erotic Game|0|600
60|Female Student|0|300
269|Game|0|600
243|Goddess|0|200
239|High School|0|300
395|Ice Skating|0|100
48|Incest|0|100
23|Japan|0|600
108|Maid|0|300
88|Nudity|0|300
487|Parental Abandonment|0|300
198|Romance|0|400
79|Seinen|0|600
86|Sex|0|100
278|Shoujo Ai|0|500
158|Vampire|0|100


